Ensembl_gene,Symbol,RNA_Seq_Enrich,RNA_Seq_Hedges_g,RNA_Seq_Var_g,RNA_Seq_SEg
ENSMUSG00000069911,Fam196b,0.7418119705210999,6.363798659198209,1.4117385948605694,1.1881660636714757
ENSMUSG00000027643,Ghrh,2.941992658209829,6.335751922992261,1.4012626847101932,1.1837494180400652
ENSMUSG00000029155,Spata18,2.016107644590757,6.327497627504781,1.3981883846036782,1.1824501615728582
ENSMUSG00000006522,Itih3,3.0153329492807135,6.3215989414549,1.3959938831485332,1.1815218504744351
ENSMUSG00000006333,Rps9,1.3410264356685717,6.315255896011605,1.3936363494869344,1.180523760661739
ENSMUSG00000035824,Tk2,0.5604109179477135,6.30676787260308,1.390485289686612,1.179188402964773
ENSMUSG00000067786,Nnat,3.241868938572142,6.301926050752744,1.3886897294000737,1.1784268027332345
ENSMUSG00000029477,Morn3,1.8188470423370227,6.203215445775527,1.352384138739838,1.1629205212480507
ENSMUSG00000057439,Kir3dl2,1.02374740785767,6.169470680672597,1.3401043332389775,1.1576287544973032
ENSMUSG00000071650,Ganab,0.6193672402842854,6.161949775690429,1.3373765849581694,1.1564499924156553
ENSMUSG00000014846,Tppp3,2.081301778215143,6.143317089674952,1.3306330504334924,1.1535306889864234
ENSMUSG00000027867,Spag17,0.8824563588661487,6.140878449617541,1.3297519701006932,1.153148719853902
ENSMUSG00000031111,Igsf1,2.5776966252172855,6.136195531173698,1.3280610131541908,1.152415295435717
ENSMUSG00000035394,Ccdc11,1.1333529471766615,6.130452165235147,1.3259889000200802,1.151515913923937
ENSMUSG00000037627,Rgs22,1.5340888832203974,6.115606136848363,1.3206416844559938,1.1491917526922972
ENSMUSG00000047507,Baiap3,3.8673532857297133,6.108861751191029,1.3182167866356223,1.1481362230308834
ENSMUSG00000017165,Gast,1.402680176015714,6.075864090918957,1.30639127358132,1.1429747475693939
ENSMUSG00000059816,Fam159a,2.1165880830965427,6.036598734211746,1.2924030331862728,1.136839053334408
ENSMUSG00000035860,Cdhr3,2.117261938441729,6.031544801140934,1.29060916290049,1.1360498065227995
ENSMUSG00000031458,Coprs,1.8496644762595702,6.030074214801239,1.2900874672487412,1.1358201738165867
ENSMUSG00000015396,Cd83,2.0998790966198575,6.0169088721839525,1.2854226831356586,1.1337648270852552
ENSMUSG00000074227,Spint2,1.733298111161715,6.0115587954943805,1.2835299412391845,1.1329298041975877
ENSMUSG00000020679,Hnf1b,1.2803988478962884,6.004087729540357,1.2808896563077508,1.1317639578585947
ENSMUSG00000028626,Col9a2,2.4958307730512854,5.994496452907812,1.277504899246199,1.130267622842572
ENSMUSG00000034706,Dnaic2,1.4116515910148715,5.956494606441601,1.264147260206303,1.1243430349347583
ENSMUSG00000091002,Tcerg1l,1.442877632898142,5.952981903944838,1.2629168352688573,1.1237957266642622
ENSMUSG00000032115,Hyou1,1.041078090890573,5.945134583392456,1.260170707796924,1.1225732527532108
ENSMUSG00000002012,Pnck,1.9800246250201425,5.901471724089143,1.2449572753138267,1.1157765346671469
ENSMUSG00000033061,Resp18,2.6674788053858585,5.849176505975388,1.2268836661323788,1.1076478078037164
ENSMUSG00000035936,Aldh5a1,0.6005908918542855,5.815826351186224,1.2154416175764262,1.1024706878536163
ENSMUSG00000039110,Mycbpap,1.658677185924371,5.808727548592823,1.21301454659493,1.1013693960678814
ENSMUSG00000043592,Unc5cl,1.0138117810189602,5.804492190861729,1.2115678954182711,1.1007124490157596
ENSMUSG00000028961,Pgd,0.6557932735255716,5.790244371897083,1.2067090804921257,1.0985031090043058
ENSMUSG00000054146,Krt15,1.6157200565998426,5.781280276127829,1.2036582494585617,1.09711359915852
ENSMUSG00000031210,Gpr165,2.344133406881186,5.780060129821719,1.2032433516117973,1.0969244967689422
ENSMUSG00000033059,Pygb,0.6612664206934298,5.7508993283743655,1.1933535863395046,1.092407243815009
ENSMUSG00000068876,Cgn,1.567101319695186,5.746899805501356,1.1920010654387634,1.0917880130495863
ENSMUSG00000027597,Ahcy,1.0940045714205713,5.709931376413511,1.179543975699939,1.086068126638444
ENSMUSG00000026787,Gad2,1.6915223611099997,5.6996164747371925,1.1760825532218249,1.084473399038365
ENSMUSG00000025151,Maged1,1.015691630847856,5.698978962958536,1.1758688256085406,1.084374854747444
ENSMUSG00000034189,Hsdl1,1.1708322621064284,5.6780641521971,1.1688703343209472,1.0811430683868566
ENSMUSG00000062393,Dgkk,2.6622504865040573,5.672952671145858,1.16716384880904,1.0803535758301723
ENSMUSG00000046844,Vat1l,1.950907274210714,5.662295027838777,1.1636107009627696,1.0787078849080365
ENSMUSG00000096458,Moap1,1.9424510143722997,5.645989361613211,1.15818749182047,1.0761911966841533
ENSMUSG00000073295,Nudt11,0.9007996051097285,5.645589664988379,1.1580547504667653,1.076129523090397
ENSMUSG00000009281,Rarres2,2.5183975810827146,5.637208848660042,1.1552736015840444,1.0748365464497587
ENSMUSG00000071398,2410004P03Rik,2.0261799198816286,5.620226596839543,1.14965076030203,1.0722176832630723
ENSMUSG00000027171,Prrg4,0.9052614118714573,5.604378676592032,1.1444188000319377,1.069775116569804
ENSMUSG00000035179,Ppp1r32,2.3249521058880003,5.579419268638935,1.1362087713442897,1.0659309411703413
ENSMUSG00000039543,Ttc18,1.497802101083043,5.565355077442892,1.131598705543112,1.0637662833268933
ENSMUSG00000023999,Kif6,1.0288054937594713,5.528495172757027,1.1195716978130639,1.0580981513135084
ENSMUSG00000057880,Abat,1.1141543404084286,5.52652121566946,1.1189298705203257,1.0577948149430143
ENSMUSG00000026679,Enkur,2.0910020105046856,5.512533006421333,1.1143882058038546,1.055645871399995
ENSMUSG00000067771,Gm14685,1.2873616428669659,5.493914006967819,1.1083608813648127,1.052787196618962
ENSMUSG00000047139,Cd24a,1.6668297005431285,5.4925688440002896,1.107926216368503,1.0525807410210881
ENSMUSG00000038060,Dlec1,1.403569337881414,5.479241473361598,1.1036254698191823,1.0505358013029267
ENSMUSG00000026611,Spata17,0.8505110434430144,5.471744209793523,1.1012106925839817,1.0493858644864538
ENSMUSG00000021496,Pcbd2,0.893804191468285,5.462671416262103,1.098292878014513,1.0479946936957805
ENSMUSG00000024423,Impact,2.020457352881717,5.428107399632841,1.0872214350704479,1.0426991105158034
ENSMUSG00000049353,Rd3,0.30642027904361996,5.398829016835051,1.0778980471607809,1.0382186894680623
ENSMUSG00000048721,Fndc9,1.6724508490676473,5.3850392983586275,1.0735243263327414,1.0361101902465497
ENSMUSG00000045031,Cetn4,1.6571547237058573,5.377753592351537,1.0712180161910674,1.0349966261737606
ENSMUSG00000075225,Ccdc162,1.0146028635603428,5.372810539798413,1.069655057265157,1.0342412954746862
ENSMUSG00000039221,Rpl22l1,2.614150061949429,5.369886476756637,1.068731165402948,1.0337945469980716
ENSMUSG00000032417,Rwdd2a,2.2019886118572867,5.364625668354975,1.0670702180005733,1.0329909089631784
ENSMUSG00000021782,Dlg5,0.7989581439158577,5.35873499191069,1.0652123401168967,1.0320912460228004
ENSMUSG00000073856,Iqck,0.9342095383097713,5.3421591485260995,1.0599953887831626,1.0295607746914033
ENSMUSG00000062300,Pvrl2,0.9160494692688568,5.339285486227117,1.0590925986435873,1.029122246695497
ENSMUSG00000046432,Ngfrap1,1.8053764476408567,5.338409529734567,1.058817504635508,1.0289885833358443
ENSMUSG00000043541,Casc1,0.9550165886497433,5.3268480177860615,1.055190842795227,1.0272248258269594
ENSMUSG00000049760,2410015M20Rik,1.0955305115188567,5.320806020571162,1.0532986929115515,1.0263034117216758
ENSMUSG00000073676,Hspe1,1.9387676188534284,5.320218063989809,1.0531146793779378,1.0262137591057419
ENSMUSG00000050994,Adgb,1.5340010078925745,5.3170945702559695,1.0521374564556454,1.0257375183036084
ENSMUSG00000022536,Glyr1,0.5332650276317148,5.314235830166207,1.0512435679137864,1.0253016960455037
ENSMUSG00000078667,1700094D03Rik,1.4447137919674997,5.298557436013415,1.0463496986229261,1.022912361164399
ENSMUSG00000031365,Zfp275,1.0338114142252,5.2938655989774634,1.044887995014219,1.022197630115732
ENSMUSG00000015937,H2afy,1.012552487061714,5.277448433144229,1.0397835533806736,1.0196977755103096
ENSMUSG00000018286,Psmb6,1.0561346131414293,5.274793348334334,1.0389595211199578,1.0192936383201643
ENSMUSG00000026546,Ccdc19,1.9348785297271285,5.25838656087141,1.0338767080588085,1.0167972797263025
ENSMUSG00000033712,2610301G19Rik,0.6963543314738567,5.251356227336049,1.0317035610831624,1.015728094070043
ENSMUSG00000057455,Rit2,1.4818377739661424,5.248407482046545,1.0307929396484878,1.015279734678324
ENSMUSG00000006931,Leprel4,1.4486401911079994,5.247217063761473,1.030425463666941,1.0150987457715337
ENSMUSG00000026831,1700007K13Rik,2.3001360844529852,5.241497951413132,1.028661165444544,1.0142293455843918
ENSMUSG00000021773,Comtd1,1.5036913899882856,5.234395207092596,1.0264727068964814,1.0131498935974288
ENSMUSG00000053153,Spag16,0.9735376418380558,5.199156204400044,1.0156589437705266,1.0077990592228823
ENSMUSG00000030838,Ush1c,1.2945723020159183,5.1760047033884735,1.0085942217631185,1.0042879177621915
ENSMUSG00000027584,Oprl1,1.4955584074845718,5.164641504690946,1.0051382565418467,1.002565836512419
ENSMUSG00000039391,Ccdc81,1.7858199984159426,5.164066130769986,1.0049634662768272,1.0024786612575987
ENSMUSG00000072663,Spef2,0.998552818015843,5.16161822355742,1.0042200451825438,1.0021078011783682
ENSMUSG00000035910,Dcdc2a,1.1170291976327713,5.155025823795306,1.0022197086600853,1.0011092391243253
ENSMUSG00000022216,Psme1,1.3678943596804283,5.154314410579039,1.002003996869093,1.0010014969364895
ENSMUSG00000025420,Katnal2,1.3483489777751423,5.152384947875318,1.0014191029864288,1.000709299940012
ENSMUSG00000011305,Plin5,1.5631773441031425,5.14776755664883,1.0000202843450794,1.0000101421211083
ENSMUSG00000037716,Ccdc33,1.3636963293345998,5.1377662722299275,0.9969947387797009,0.9984962387408882
ENSMUSG00000027070,Lrp2,0.92793960237997,5.129510302252161,0.9945016115105141,0.9972470162956187
ENSMUSG00000063704,Mapk15,2.038093614041143,5.116991317206761,0.9907287938475239,0.9953536024185193
ENSMUSG00000038545,Cul7,1.215540178506572,5.114601916874458,0.9900097534865385,0.994992338405949
ENSMUSG00000071745,DXBay18,1.259262777674759,5.103739384718487,0.9867451340462668,0.9933504588242091
ENSMUSG00000071202,Ccdc78,1.7444101607470004,5.103284277627726,0.9866085079037872,0.993281686080936
ENSMUSG00000075302,Erich2,1.4401177661001716,5.102424667908085,0.9863504806506873,0.9931517913444486
ENSMUSG00000027344,Fsip1,1.0971165386991997,5.0959502956220355,0.9844084784087276,0.9921736130379237
ENSMUSG00000015837,Sqstm1,0.9048281880677136,5.091596554338772,0.9831039506647318,0.9915159860863222
ENSMUSG00000036598,Ccdc113,1.6511211336137137,5.089878288265976,0.9825894070531709,0.9912564789463779
ENSMUSG00000043463,Rab9b,1.5595583433440856,5.083032151480749,0.9805410206892187,0.9902227126708509
ENSMUSG00000059854,Hydin,1.0984961253460859,5.082970364064148,0.9805225462470836,0.9902133841991249
ENSMUSG00000036962,Gm101,1.0025832142788085,5.079435410047541,0.9794659686850369,0.9896797303597952
ENSMUSG00000020593,Lpin1,0.6560931221992856,5.079412405926005,0.9794590952918069,0.9896762578195998
ENSMUSG00000028863,Meaf6,0.9925666898484287,5.0705449679661525,0.9768119153709794,0.988337956050955
ENSMUSG00000091705,H2-Q2,2.2466673379559285,5.070480624605997,0.9767927239691545,0.9883282470764228
ENSMUSG00000021474,Sfxn1,0.8246257980911444,5.064236172721717,0.9749313783396921,0.987386134366739
ENSMUSG00000034993,Vat1,2.91195034633357,5.058660900376295,0.973271439865951,0.9865452041675288
ENSMUSG00000026627,Tmem206,1.0512024240877142,5.058144553345106,0.9731177992053291,0.9864673330654843
ENSMUSG00000031392,Irak1,0.7326010771635718,5.053405426624752,0.9717083898907918,0.9857527021980674
ENSMUSG00000044772,Sntn,1.476058591155686,5.0530666833068585,0.9716076987174176,0.9857016276325293
ENSMUSG00000035776,Cd99l2,1.232863841706572,5.050171679298063,0.970747436495019,0.9852651604999636
ENSMUSG00000024270,Slc39a6,1.087003604384,5.017346371323432,0.9610277488317307,0.9803202276969147
ENSMUSG00000070822,Zscan18,1.049735406351429,5.006701529526452,0.9578893840061451,0.978718235247584
ENSMUSG00000027932,Slc27a3,1.3134722771731429,5.002644057819656,0.9566948946966098,0.9781078134319395
ENSMUSG00000057132,Rpgrip1,0.19429989385657145,4.998570797830349,0.9554967315108459,0.9774951311954684
ENSMUSG00000020843,Timm22,0.6845996727959998,4.998122136130872,0.9553648158272899,0.9774276524773022
ENSMUSG00000076437,2700094K13Rik,1.4166649191451421,4.980172935556234,0.9500970976027419,0.974729243227442
ENSMUSG00000019359,Gdpd2,1.58097011971,4.9628856681832625,0.9450415589972134,0.972132480167808
ENSMUSG00000035539,E230008N13Rik,1.6765733519191428,4.961365284043513,0.9445977744752527,0.9719042002559989
ENSMUSG00000024165,Hn1l,1.1921091475429857,4.959795691607063,0.9441397692038356,0.9716685490453191
ENSMUSG00000007458,M6pr,0.9665515536631428,4.9527206499921625,0.9420770790383887,0.9706065521303617
ENSMUSG00000003559,As3mt,1.7613938692895714,4.941561315144216,0.938829620052243,0.9689322061177671
ENSMUSG00000054667,Irs4,1.3984484460137787,4.938103654598683,0.9378248986472734,0.9684135989582516
ENSMUSG00000028651,Ppie,0.786658818791858,4.9348839652409575,0.9368899588481985,0.9679307613916392
ENSMUSG00000031659,Adcy7,1.748435398439143,4.934446209264479,0.9367628894873827,0.9678651194703644
ENSMUSG00000021541,Trpc7,1.682505790094857,4.91442337038289,0.9309628209944691,0.9648641463928842
ENSMUSG00000061322,Dnaic1,1.489402362587,4.896248925186752,0.9257185996423193,0.9621427127211011
ENSMUSG00000020919,Stat5b,1.3180958140988581,4.895418647786656,0.925479487868934,0.9620184446615012
ENSMUSG00000020155,Kcnmb1,0.6012827266743173,4.894917345149546,0.9253351372438915,0.9619434168618711
ENSMUSG00000045411,2410002F23Rik,1.257616775432,4.891062605540345,0.9242256547576922,0.9613665558764213
ENSMUSG00000050157,Gm867,1.6346729409020853,4.889016706287894,0.9236371530826046,0.9610604315455946
ENSMUSG00000042269,Fam92b,1.8280231462748577,4.886469742048921,0.922904864423708,0.9606793764954612
ENSMUSG00000031066,Usp11,1.0045449534861435,4.866759057251579,0.9172506638760797,0.9577320417925255
ENSMUSG00000022783,Spag6,1.0369021905101716,4.865170326264287,0.9167959162943816,0.9574946037938707
ENSMUSG00000072653,Zfp783,1.2894268352711569,4.854383560501159,0.9137123118503039,0.9558830011305274
ENSMUSG00000029161,Cgref1,0.7946180546054284,4.8260514191928605,0.9056456220923487,0.9516541504624191
ENSMUSG00000061802,Armc4,1.2615999202632544,4.812055034365035,0.9016780148295386,0.9495672776741723
ENSMUSG00000044948,Wdr96,1.8260350758450568,4.79933540006471,0.898082327434139,0.9476720569026709
ENSMUSG00000022935,Grik1,1.2156472608035718,4.795031977947228,0.8968679564700863,0.9470311275085346
ENSMUSG00000019923,Zwint,1.239854071658713,4.794731210866597,0.8967831245560204,0.9469863381042096
ENSMUSG00000062761,Zfp512,0.5700083158195719,4.785600236073188,0.894210249116182,0.9456269079907689
ENSMUSG00000032377,Plscr4,0.9294670890518428,4.773884842266634,0.8909163334608691,0.943883644026566
ENSMUSG00000066196,Spag8,1.5840557516029858,4.765467655057173,0.8885547300541924,0.9426318104404245
ENSMUSG00000047394,Odf3b,2.4198254397156855,4.758015056230242,0.8864672389929443,0.9415238918864164
ENSMUSG00000017307,Acot8,1.0885706092651435,4.753799011830981,0.8852877616274014,0.9408973172601788
ENSMUSG00000067604,Nms,3.725184700613428,4.7502360397080015,0.8842918024525643,0.940367908029918
ENSMUSG00000024346,Pfdn1,1.3061467091259988,4.748383196568868,0.8837741715265887,0.9400926398640661
ENSMUSG00000019975,Ikbip,0.9692202850302571,4.738341474341273,0.8809723169973253,0.9386012555911724
ENSMUSG00000026411,Tmem9,1.0052794434125722,4.73608063184931,0.8803423118183703,0.9382655870372579
ENSMUSG00000021241,Isca2,1.112497013405001,4.730817331981665,0.8788768082066043,0.9374842975786871
ENSMUSG00000002661,Alkbh7,1.1395677130831428,4.727971474936948,0.8780850917136436,0.9370619465721802
ENSMUSG00000022400,Rbx1,0.7846019105657129,4.71755403411276,0.8751910269182355,0.9355164493039315
ENSMUSG00000033029,1700088E04Rik,1.1345086802750426,4.705838041611369,0.8719438389506812,0.9337793309720885
ENSMUSG00000025665,Rps6ka6,2.0045820090886854,4.703654069818147,0.871339425263625,0.9334556364732204
