Ensembl_gene,Symbol,MoEx_Enrich,MoEx_Hedges_g,MoEx_Var_g,MoEx_SEg
ENSMUSG00000057446,Cts8,0.9127398106060602,4.458431749590823,0.5554577610000475,0.7452903870304832
ENSMUSG00000086656,Gm15701,1.0384065151515145,4.456144464934901,0.5550936507609486,0.7450460729115674
ENSMUSG00000022972,1110004E09Rik,1.5434624242424233,4.44920415092385,0.5539899736935928,0.7443050273198434
ENSMUSG00000092042,Gm17163,1.0191875757575737,4.444835814575304,0.553296185156687,0.743838816650951
ENSMUSG00000056023,Gm9989,1.5619998484848487,4.43857041937909,0.5523022913933971,0.7431704322653029
ENSMUSG00000064280,Ccdc146,2.019528888888181,4.435005537584536,0.5517374119401548,0.7427902879953094
ENSMUSG00000081703,Gm6285,0.7869040151515136,4.428389338337523,0.5506902336097252,0.7420850582040615
ENSMUSG00000087279,4930544D05Rik,0.938661666666667,4.424403744647641,0.5500601686767007,0.7416604133137353
ENSMUSG00000034993,Vat1,1.5314620454545462,4.42043836303409,0.5494338619933335,0.7412380602703382
ENSMUSG00000047810,Ccdc88b,0.8535447575757571,4.419844998022047,0.5493401920854227,0.7411748728103393
ENSMUSG00000054672,5830411N06Rik,0.7884670202046968,4.41694628549265,0.5488827756994731,0.7408662333373502
ENSMUSG00000036112,Metap2,0.8296563852801517,4.415134453519632,0.5485970213017727,0.7406733566841545
ENSMUSG00000092243,Gm7030,2.2545249999999997,4.408867818472984,0.5476095784108911,0.74000647187095
ENSMUSG00000025983,Ccdc150,0.8144492121212119,4.407010955980307,0.5473172592209578,0.7398089342667861
ENSMUSG00000035910,Dcdc2a,1.671178535354091,4.403099130236864,0.5467018375167108,0.7393928844103862
ENSMUSG00000097579,AC153591.1,1.4085323484848484,4.402106734817987,0.5465457974102329,0.7392873578049559
ENSMUSG00000082157,Gm12038,1.0094151515151513,4.383165172567718,0.5435742478616745,0.737274879445702
ENSMUSG00000045761,Fam179a,1.1059017340074244,4.369922757698291,0.541504390330225,0.7358698188743883
ENSMUSG00000074652,Myh7b,0.8981343434334859,4.368315372185802,0.5412535739485349,0.7356993774283997
ENSMUSG00000060962,Dmkn,1.6508513383836365,4.3629587304839905,0.5404183898955294,0.7351315459803975
ENSMUSG00000055632,Hmcn2,0.6126439962121206,4.356116356161868,0.539353047476145,0.7344065954742951
ENSMUSG00000024608,Rps14,0.9734511616196979,4.340762887121457,0.5369686320081103,0.7327814353598966
ENSMUSG00000050875,A730017C20Rik,1.5169881313119706,4.338807828251216,0.5366656128703073,0.7325746466199246
ENSMUSG00000047361,Gm973,1.2509991582504547,4.337118827886989,0.536403940668839,0.7323960272071655
ENSMUSG00000081394,Gm13215,1.2318528787872727,4.3355639091336995,0.536163131436176,0.7322316105141706
ENSMUSG00000093661,Eif4e3,0.8954776969696985,4.324581921931467,0.5344648169596363,0.731071006783634
ENSMUSG00000085094,Gm15692,1.127740000000001,4.323374952318498,0.5342784272960384,0.7309435185402757
ENSMUSG00000027913,Crct1,1.2086783333333333,4.31712338073612,0.5333138434775292,0.730283399426229
ENSMUSG00000017316,Ppy,0.8195328030303024,4.314979950998936,0.5329834451386777,0.7300571519673495
ENSMUSG00000006342,Susd2,0.7663813352272717,4.31130486636114,0.5324173321598645,0.7296693306970388
