Ensembl_gene,Symbol,MoGene_Enrich,MoGene_Hedges_g,MoGene_Var_g,MoGene_SEg
ENSMUSG00000042105,Inpp5f,1.0853193181783336,6.961972110756184,1.1657463157660253,1.0796973259974414
ENSMUSG00000036198,Arhgap36,3.5736816666666673,6.929498512786128,1.1563482734276556,1.0753363536250673
ENSMUSG00000021260,Hhipl1,1.7450711111108337,6.92772544718181,1.1558364032781816,1.0750983226096957
ENSMUSG00000019027,Dnahc1,2.10334367646083,6.8805406851847986,1.1422626584647,1.0687668868676181
ENSMUSG00000074182,Znhit6,1.8901652083333333,6.868025198137369,1.1386778668348365,1.067088500001212
ENSMUSG00000042814,Mcts2,0.9170141666666662,6.853143933965634,1.1344239430306726,1.0650933963886324
ENSMUSG00000024036,Slc37a1,0.7160642261900003,6.779830347546292,1.1136013964027496,1.0552731382929965
ENSMUSG00000083477,Gm5555,0.7299716666666676,6.748877422622484,1.104877373987621,1.0511314732171333
ENSMUSG00000024145,Pigf,0.8885426666666678,6.746544397875329,1.1042214332984437,1.0508194104119146
ENSMUSG00000028133,Rwdd3,1.7029970833333348,6.741188291935646,1.1027163973573444,1.0501030413046828
ENSMUSG00000027520,Zdbf2,1.523733749999998,6.734231195054439,1.1007632765472215,1.0491726628859626
ENSMUSG00000027180,Fbxo3,0.770717857135832,6.707798669988389,1.0933610517275063,1.0456390637918547
ENSMUSG00000064966,Snord15b,1.759565833333335,6.698485576116696,1.0907599270680362,1.0443945265406345
ENSMUSG00000017667,Zfp334,1.0119073611116658,6.692453532441655,1.089077120202356,1.0435885780336789
ENSMUSG00000024553,Galr1,2.756740416666667,6.643987523736986,1.0756112021123965,1.037116773614426
ENSMUSG00000023964,Calcr,3.229606041665831,6.6315178927492875,1.072162438493255,1.0354527698032658
ENSMUSG00000031340,Gabre,2.380876875000001,6.622301878862436,1.0696177012626513,1.0342232357004224
ENSMUSG00000017466,Timp2,0.9644716666666682,6.612173530155425,1.0668251308064658,1.0328722722614185
ENSMUSG00000032932,Hspa13,1.7924962499999992,6.587137190949434,1.0599404970460733,1.029534116504195
ENSMUSG00000027932,Slc27a3,1.3065481666666674,6.568201005784985,1.0547506653795247,1.0270105478423894
ENSMUSG00000024798,Htr7,1.0363670833333343,6.554953747880173,1.0511288775556382,1.0252457644660806
ENSMUSG00000075391,Gm13443,1.0529550000000025,6.51494922579743,1.0402360604279344,1.0199196342986707
ENSMUSG00000031880,Rrad,1.170469305556665,6.451340237370268,1.0230532988361452,1.0114609724730586
ENSMUSG00000089774,Slc5a3,1.200144166666668,6.4421763201873254,1.0205917338792627,1.0102434032842098
ENSMUSG00000030541,Idh2,0.9116751041666671,6.428001468579494,1.0167910492892176,1.008360575037133
ENSMUSG00000000934,Top1mt,0.8729697916658328,6.415903971334397,1.013553984483475,1.006754182749431
ENSMUSG00000027301,Oxt,4.4428419444391665,6.400432179295679,1.0094229076580403,1.0047004069164303
ENSMUSG00000062300,Pvrl2,0.7855277083333343,6.342234016102056,0.9939729125171732,0.9969819018002148
ENSMUSG00000021928,Ebpl,1.0676391666666678,6.340681107008354,0.9935625913873956,0.9967760989246259
