MGI symbol,430AV2_Enrich,430AV2_Hedges_g,430AV2_Var_g,430AV2_SEg
Rb1cc1,-0.014488777777777647,0.3035061949453354,0.48663979841379906,0.6966431669037548
Rbbp4,-2.290633977272727,-7.971394121084321,3.395715413952122,1.816005641742823
Rbbp6,-0.04669357843137224,1.5497767610196775,3.1182495180900207,1.4239855540498998
Rbbp7,1.3605991666666668,7.431269169936784,2.902332434517558,1.7036233253033248
Rbbp8,1.1894210416666664,3.839152637804667,1.3428428609112193,1.0881164566114936
Rbbp9,1.0128600000000008,2.3564732616778974,0.6445690143789183,0.8028505554453571
Rbck1,-1.0582733333333323,-3.1759803168475877,0.850654684378938,0.9223094298438773
Rbfox1,-4.764992500000001,-18.045671489061913,15.194264162476149,3.897982062872551
Rbfox2,-1.5271411111111093,-5.135357752373775,2.1227941767533323,1.3594503386465975
Rbfox3,-1.5079616666666666,-2.470923344538071,0.6696824662689336,0.8183412896028978
Rbks,-0.08675750000000093,-0.32043543436089234,0.39682867958760853,0.629943393955051
Rbl1,1.3848759722222221,4.795853900883607,1.4945293005652946,1.2049260227096716
Rbl2,-0.39600833333333263,-1.6825598142222646,0.940289871773839,0.9374838195269216
Rbm10,1.2284577727272719,3.5753581506704086,3.1464805416809924,1.5556621210109736
Rbm12,2.393114375,8.05779612634168,3.435540731317784,1.831531899729132
Rbm14,0.3039552083333335,1.3595635063682647,1.926694011138896,1.3642635650562196
Rbm15,1.4553987500000005,5.358707280885651,1.697422536615919,1.3028516940219708
Rbm15b,-1.5321491666666667,-6.3854584199081055,2.2455286961685754,1.4985088241877575
Rbm17,0.8516058333333332,3.1879340645758143,0.854112531064373,0.9241820876128107
Rbm18,-0.9714040277777786,-5.951774924804581,3.7686567918560794,1.8220514845700568
Rbm19,0.707497083333334,3.327377726018195,0.8954088461334251,0.9462604536455199
Rbm22,-0.1829812500000001,-1.1509834940939818,0.45237795850046025,0.6725904835042348
Rbm25,-0.38271470720720685,-1.5037673939962575,0.973031779721089,0.948625541435819
Rbm26,0.8140495833333337,3.611339982266412,1.0508762486093992,1.003462205391572
Rbm28,0.733032638888889,2.0300384629419437,0.5921276761362942,0.766555023094733
Rbm3,0.19489833333333273,0.5580871950977374,0.40631879093933604,0.6374314009674579
Rbm38,0.35645416666666563,2.10434846345481,0.5934470244989979,0.7703551288198176
Rbm39,-0.024554220679012122,0.004095167076282941,0.6350756237654738,0.7805396934554824
Rbm4,0.9441108333333336,4.300700318676102,1.5877427432207947,1.1549395436940053
Rbm42,-0.11209000000000054,-0.426673450446928,1.051042282270646,1.0105219499526605
Rbm43,1.603131666666668,10.882072768640615,5.774866355696498,2.4030951615981624
Rbm47,-0.013911666666666545,-0.09226304831549673,0.3925483887917183,0.6265368215769271
